Total story drift angle (rad),Force in the actuator (kN)
-0.002473282,-411.3160752
0.002564885,328.1285544
-0.002381679,-406.6945463
0.002473282,305.0209097
-0.002473282,-406.6945463
0.002473282,323.5070255
-0.002656489,-397.4514884
0.002381679,318.8854965
-0.002564885,-406.6945463
0.004763359,591.5557037
-0.006687023,-915.0627291
0.004763359,577.6911169
-0.006320611,-891.9550845
0.004396947,573.0695879
-0.006687023,-896.5766134
0.004671756,563.8265301
-0.006503817,-896.5766134
-0.001648855,-203.3472731
4.58E-04,32.35070255
0.001923664,221.8333889
0.003206107,402.0730174
0.00421374,536.0973565
0.005954198,762.5522743
0.007419847,924.305787
0.007969466,970.5210764
0.008793893,1058.330126
0.009526718,1113.788473
0.009526718,1086.0593
0.009160305,1030.600953
0.007969466,831.8752083
0.005954198,545.3404143
0.003938931,295.7778518
0.001557252,-27.72917361
0,-212.590331
-0.00119084,-351.2361991
-0.002564885,-512.9897118
-0.004580153,-716.3369849
-0.00659542,-965.8995474
-0.007694656,-1081.437771
-0.008335878,-1155.382234
-0.008977099,-1192.354465
-0.009435115,-1169.246821
-0.008244275,-1012.114837
-0.007145038,-818.0106215
-0.005496183,-610.0418194
-0.003480916,-337.3716123
-0.001465649,-92.4305787
3.66E-04,106.2951655
0.00210687,314.2639676
0.003755725,485.2605382
0.005496183,683.9862824
0.00659542,841.1182662
0.007603053,952.0349606
0.008335878,1016.736366
0.008793893,1062.951655
0.009251908,1104.545415
0.009801527,1090.680829
0.008793893,947.4134317
0.007145038,725.5800428
0.005312977,457.5313646
0.00448855,355.857728
0.00329771,212.590331
0.002381679,87.80904977
3.66E-04,-147.8889259
-6.41E-04,-277.2917361
-0.001923664,-439.0452488
-0.003206107,-591.5557037
-0.003938931,-665.5001666
-0.005221374,-804.1460347
-0.007053435,-1021.357895
-0.007877863,-1099.923887
-0.008793893,-1178.489878
-0.009435115,-1183.111407
-0.009251908,-1109.166944
-0.008610687,-1039.84401
-0.007603053,-896.5766134
-0.006137405,-693.2293403
-0.004671756,-499.125125
