Total story drift angle (rad),Force in the actuator (kN)
0,-9.009056405
0.004320786,414.4165946
-0.004189853,-400.90301
0.004451718,400.90301
-0.004189853,-405.4075382
0.004451718,405.4075382
-0.003666121,-396.3984818
0.003927987,400.90301
-0.00405892,-391.8939536
0.003927987,409.9120664
-0.003927987,-409.9120664
0.003797054,409.9120664
-0.003797054,-400.90301
0.00589198,608.1113073
-0.005499182,-617.1203637
0.005630115,594.5977227
-0.005630115,-612.6158355
-0.003927987,-391.8939536
-2.62E-04,-9.009056405
0.005761047,585.5886663
-0.005368249,-599.1022509
0.006022913,603.6067791
-0.005237316,-594.5977227
0.00497545,513.5162151
0.006022913,657.6611176
0.006808511,734.238097
0.007855974,797.3014918
0.008641571,851.3558303
0.009296236,851.3558303
0.008903437,756.760738
0.006808511,513.5162151
0.003535188,162.1630153
9.17E-04,-90.09056405
-0.001047463,-247.7490511
-0.002356792,-355.857728
-0.003535188,-450.4528203
-0.005106383,-576.5796099
-0.006415712,-693.6973432
-0.007201309,-779.283379
-0.007986907,-855.8603585
-0.009427169,-909.9146969
-0.010212766,-896.4011123
-0.009689034,-815.3196047
-0.008379705,-684.6882868
-0.005237316,-346.8486716
-0.002487725,-40.54075382
-3.93E-04,130.6313179
0.001833061,315.3169742
0.004451718,536.0388561
0.006284779,689.192815
0.007201309,779.283379
0.007986907,819.8241329
0.00903437,846.8513021
0.009427169,810.8150765
0.00811784,662.1656458
0.00589198,427.9301792
0.004582651,274.7762204
0.002225859,45.04528203
-2.62E-04,-175.6765999
-0.002225859,-324.3260306
-0.003535188,-445.9482921
-0.004844517,-576.5796099
-0.006022913,-680.1837586
-0.006677578,-747.7516816
-0.007332242,-810.8150765
-0.008379705,-878.3829995
-0.009427169,-914.4192251
-0.010212766,-923.4282815
-0.010212766,-860.3648867
-0.0099509,-833.3377175
-0.009165303,-756.760738
-0.007463175,-581.0841381
-0.006415712,-454.9573485
-0.003404255,-135.1358461
-0.001178396,49.54981023
2.62E-04,198.1992409
0.002487725,364.8667844
0.003666121,472.9754613
0.00497545,590.0931945
0.006546645,725.2290406
0.009165303,882.8875277
0.011260229,936.9418661
0.013224223,963.9690353
0.014271686,990.9962046
0.013878887,909.9146969
0.012831424,770.2743226
0.011522095,630.6339484
0.009558101,414.4165946
0.008379705,288.289805
0.006415712,85.58603585
0.003535188,-153.1539589
5.24E-04,-382.8848972
-0.001963993,-554.0569689
-0.003666121,-675.6792304
-0.005368249,-756.760738
-0.006808511,-824.3286611
-0.007855974,-869.3739431
-0.00903437,-914.4192251
-0.010081833,-950.4554507
-0.011391162,-981.9871482
-0.01309329,-1031.536958
-0.014402619,-1054.059599
-0.014664484,-1000.005261
-0.012831424,-774.7788508
-0.010081833,-468.4709331
-0.007463175,-207.2082973
-0.005368249,-18.01811281
-0.002356792,234.2354665
0,427.9301792
0.001963993,549.5524407
0.004844517,725.2290406
0.007594108,846.8513021
0.0099509,932.4373379
0.011129296,968.4735635
0.012045827,990.9962046
0.013486088,1027.03243
0.014140753,1036.041487
0.014140753,995.5007328
0.013486088,837.8422457
0.011914894,698.2018714
0.010081833,509.0116869
0.008772504,346.8486716
0.007070376,166.6675435
0.004582651,-31.53169742
0.001047463,-315.3169742
-0.001309329,-481.9845177
-0.002880524,-621.6248919
-0.004451718,-720.7245124
-0.006284779,-806.3105483
-0.007725041,-869.3739431
-0.0099509,-941.4463943
-0.010605565,-972.9780917
-0.012176759,-1009.014317
-0.01309329,-1036.041487
-0.014402619,-1049.555071
-0.014664484,-1027.03243
-0.013617021,-896.4011123
-0.011522095,-630.6339484
-0.008903437,-333.335087
-0.006546645,-117.1177333
-0.003927987,112.6132051
-0.001571195,310.812446
-2.62E-04,396.3984818
0.001178396,518.0207433
0.003535188,644.147533
0.006022913,783.7879072
0.008248773,869.3739431
0.015057283,1076.58224
0.016628478,1108.113938
0.01806874,1121.627522
0.019378069,1139.645635
0.019247136,1103.60941
0.018592471,1018.023374
0.015711948,689.192815
0.013878887,477.4799895
0.011653028,247.7490511
0.008903437,-9.009056405
0.005630115,-274.7762204
0.003273322,-459.4618767
2.62E-04,-644.147533
-0.001702128,-747.7516816
-0.005106383,-878.3829995
-0.007986907,-972.9780917
-0.010212766,-1027.03243
-0.012569558,-1076.58224
-0.01400982,-1103.60941
-0.015319149,-1130.636579
-0.017021277,-1166.672804
-0.018723404,-1184.690917
-0.019639935,-1175.681861
-0.018854337,-1094.600353
-0.016628478,-797.3014918
-0.013747954,-450.4528203
-0.010081833,-103.6041487
-0.007986907,81.08150765
-0.00497545,315.3169742
-0.002880524,463.9664049
7.86E-04,689.192815
0.003011457,810.8150765
0.00497545,882.8875277
0.007070376,941.4463943
0.0099509,1004.509789
0.011783961,1045.050543
0.015581015,1126.132051
0.018199673,1184.690917
0.019509002,1198.204502
0.019639935,1171.177333
0.019247136,1067.573184
0.017675941,900.9056405
0.016235679,765.7697944
0.014795417,581.0841381
0.012831424,360.3622562
0.010343699,139.6403743
0.007201309,-126.1267897
0.004582651,-369.3713126
0.002225859,-518.0207433
-7.86E-04,-698.2018714
-0.003535188,-801.8060201
-0.006153846,-909.9146969
-0.008772504,-1004.509789
-0.011260229,-1049.555071
-0.012962357,-1094.600353
-0.015188216,-1121.627522
-0.016497545,-1153.15922
-0.018330606,-1171.177333
-0.019247136,-1180.186389
-0.019509002,-1153.15922
-0.019116203,-1090.095825
-0.017545008,-918.9237533
-0.015057283,-612.6158355
-0.012831424,-364.8667844
-0.011129296,-180.1811281
-0.009296236,-18.01811281
-0.006939444,180.1811281
-0.004451718,364.8667844
-0.001571195,545.0479125
-1.31E-04,648.6520612
0.001440262,738.7426252
0.004189853,860.3648867
0.006153846,923.4282815
0.00811784,972.9780917
0.01086743,1027.03243
0.01309329,1076.58224
0.01492635,1117.122994
0.018461538,1184.690917
0.0199018,1189.195445
0.021342062,1198.204502
0.02396072,1229.736199
0.025793781,1247.754312
0.027495908,1274.781481
0.028805237,1283.790538
0.029328969,1279.28601
0.029328969,1225.231671
0.028674304,1153.15922
0.025924714,837.8422457
0.024091653,635.1384766
0.021865794,387.3894254
0.019247136,148.6494307
0.017414075,-27.02716922
0.015057283,-220.7218819
0.012307692,-396.3984818
0.008641571,-644.147533
0.006677578,-770.2743226
0.00405892,-869.3739431
9.17E-04,-963.9690353
-0.002618658,-1040.546015
-0.006546645,-1112.618466
-0.009819967,-1153.15922
-0.012831424,-1198.204502
-0.016104746,-1234.240727
-0.019378069,-1256.763369
-0.021734861,-1270.276953
-0.024091653,-1288.295066
-0.025924714,-1301.808651
-0.02801964,-1315.322235
-0.02893617,-1319.826763
-0.029198036,-1288.295066
-0.028674304,-1225.231671
-0.027757774,-1076.58224
-0.025531915,-810.8150765
-0.022913257,-536.0388561
-0.020425532,-292.7943332
-0.018723404,-135.1358461
-0.015842881,112.6132051
-0.013617021,306.3079178
-0.01086743,481.9845177
-0.00903437,621.6248919
-0.006677578,734.238097
-0.00405892,846.8513021
-0.001571195,918.9237533
3.93E-04,972.9780917
0.001963993,1009.014317
0.003666121,1045.050543
0.006284779,1085.591297
0.008641571,1121.627522
0.011653028,1157.663748
0.014402619,1184.690917
0.019247136,1238.745256
0.02304419,1283.790538
0.025924714,1310.817707
0.02801964,1333.340348
0.02893617,1328.83582
0.029459902,1265.772425
0.028412439,1085.591297
0.027495908,995.5007328
0.026710311,905.4101687
0.025139116,743.2471534
0.022651391,477.4799895
0.020294599,243.2445229
0.018330606,58.55886663
0.016497545,-130.6313179
0.013747954,-319.8215024
0.010736498,-527.0297997
0.00811784,-689.192815
0.00589198,-792.7969636
0.004713584,-837.8422457
0.002880524,-905.4101687
3.93E-04,-981.9871482
-0.001047463,-1013.518846
-0.003797054,-1067.573184
-0.005761047,-1112.618466
-0.008248773,-1148.654692
-0.011391162,-1180.186389
-0.014664484,-1216.222615
-0.017545008,-1247.754312
-0.020556465,-1270.276953
-0.022651391,-1279.28601
-0.024484452,-1297.304122
-0.025793781,-1310.817707
-0.027234043,-1310.817707
-0.029067103,-1306.313179
-0.029067103,-1256.763369
-0.028412439,-1144.150163
-0.02710311,-977.4826199
-0.024615385,-725.2290406
-0.022258592,-463.9664049
-0.021211129,-360.3622562
-0.019378069,-216.2173537
-0.017806874,-58.55886663
-0.016759411,40.54075382
-0.014533552,234.2354665
-0.012307692,396.3984818
-0.009819967,567.5705535
-0.007986907,671.1747022
-0.006022913,774.7788508
-0.003273322,873.8784713
-3.93E-04,954.9599789
0.003011457,1031.536958
0.004844517,1058.564128
0.008248773,1121.627522
0.010474632,1153.15922
0.013355155,1193.699974
0.016759411,1234.240727
0.019770867,1261.267897
0.023175123,1292.799594
0.025662848,1306.313179
0.028150573,1337.844876
0.029590835,1337.844876
0.031554828,1342.349404
0.032733224,1337.844876
0.034959083,1351.358461
0.03613748,1369.376574
0.037708674,1382.890158
0.03888707,1387.394686
0.039803601,1391.899215
0.039803601,1351.358461
0.039279869,1274.781481
0.03705401,1004.509789
0.034566285,711.715456
0.032733224,518.0207433
0.030769231,333.335087
0.028412439,103.6041487
0.025924714,-108.1086769
0.023306056,-310.812446
0.020818331,-472.9754613
0.018592471,-617.1203637
0.016497545,-743.2471534
0.014271686,-851.3558303
0.012307692,-923.4282815
0.009165303,-995.5007328
0.006546645,-1063.068656
0.003797054,-1112.618466
-1.31E-04,-1175.681861
-0.005237316,-1234.240727
-0.011914894,-1292.799594
-0.017283142,-1324.331292
-0.020687398,-1351.358461
-0.024353519,-1369.376574
-0.028281506,-1387.394686
-0.031031097,-1405.412799
-0.033256956,-1414.421856
-0.035875614,-1427.93544
-0.03797054,-1441.449025
-0.039410802,-1445.953553
-0.039279869,-1400.908271
-0.038363339,-1252.25884
-0.036661211,-1076.58224
-0.034304419,-770.2743226
-0.032471358,-558.5614971
-0.030638298,-346.8486716
-0.029198036,-207.2082973
-0.026841244,-13.51358461
-0.023567921,256.7581075
-0.021080196,427.9301792
-0.018461538,585.5886663
-0.015450082,747.7516816
-0.013355155,837.8422457
-0.011653028,900.9056405
-0.00903437,972.9780917
-0.006677578,1022.527902
-0.004320786,1076.58224
-0.001178396,1121.627522
0.002487725,1171.177333
0.006022913,1216.222615
0.009427169,1252.25884
0.012569558,1274.781481
0.015973813,1301.808651
0.01898527,1319.826763
0.021342062,1337.844876
0.024222586,1351.358461
0.028150573,1364.872045
0.032340426,1378.38563
0.035482815,1400.908271
0.039018003,1414.421856
0.040589198,1414.421856
0.040589198,1355.862989
0.040327332,1301.808651
0.039541735,1184.690917
0.036792144,914.4192251
0.035875614,779.283379
0.034042553,585.5886663
0.032602291,414.4165946
0.030376432,207.2082973
0.02801964,9.009056405
0.026055646,-171.1720717
0.024746318,-274.7762204
0.022520458,-423.425651
0.019770867,-585.5886663
0.017675941,-702.7063996
0.015711948,-810.8150765
0.013355155,-905.4101687
0.011260229,-954.9599789
0.007986907,-1027.03243
0.005499182,-1076.58224
0.002094926,-1130.636579
-0.001571195,-1175.681861
-0.003797054,-1207.213558
-0.007201309,-1243.249784
-0.010736498,-1265.772425
-0.013878887,-1292.799594
-0.01898527,-1328.83582
-0.022258592,-1351.358461
-0.026579378,-1364.872045
-0.029328969,-1382.890158
-0.031947627,-1396.403743
-0.034697218,-1409.917327
-0.036792144,-1427.93544
-0.03888707,-1450.458081
-0.039541735,-1418.926384
-0.03888707,-1333.340348
-0.037184943,-1166.672804
-0.035351882,-918.9237533
-0.032864157,-671.1747022
-0.031162029,-500.0026305
-0.029067103,-279.2807486
-0.027495908,-108.1086769
-0.025270049,49.54981023
-0.023436989,202.7037691
-0.020294599,414.4165946
-0.017414075,621.6248919
-0.014140753,783.7879072
-0.012438625,873.8784713
-0.009819967,945.9509225
-0.007594108,995.5007328
-0.005237316,1054.059599
-0.001963993,1103.60941
7.86E-04,1144.150163
0.004844517,1202.70903
0.007986907,1225.231671
0.011260229,1274.781481
0.014664484,1301.808651
0.017806874,1315.322235
0.020949264,1328.83582
0.023306056,1351.358461
0.025793781,1360.367517
0.030638298,1391.899215
0.033649755,1405.412799
0.036923077,1423.430912
0.040458265,1436.944497
0.042553191,1445.953553
0.044255319,1450.458081
0.045826514,1450.458081
0.047266776,1454.962609
0.048576105,1468.476194
0.049492635,1477.48525
0.049754501,1454.962609
0.049623568,1400.908271
0.048445172,1252.25884
0.046743044,1036.041487
0.045171849,842.3467739
0.043076923,639.6430048
0.041243863,418.9211228
0.039148936,211.7128255
