Total story drift angle (rad),Force in the actuator (kN)
-4.63E-05,-36.84917302
0.004024672,589.5867683
-0.004302236,-600.1151034
0.00383963,584.3226007
-0.003932151,-579.0584331
0.003932151,579.0584331
-0.004117194,-594.8509359
0.00383963,579.0584331
-0.003932151,-594.8509359
0.004024672,589.5867683
-0.003747109,-579.0584331
0.00383963,573.7942656
-0.00383963,-589.5867683
3.24E-04,47.37750817
0.003654588,573.7942656
0.005227448,784.3609685
0.005967618,894.9084876
0.006245181,937.0218282
0.003284503,415.8692383
8.79E-04,52.64167574
-5.09E-04,-100.0191839
-0.002729375,-452.7184114
-0.0045798,-742.2476279
-0.005782575,-915.9651579
-0.00689283,-1079.154353
-0.007632999,-1173.909369
-0.008373169,-1226.551045
-0.008650732,-1163.381034
-0.007632999,-1000.191839
-0.005782575,-715.9267901
-0.003284503,-384.2842329
-0.0015266,-136.8683569
7.86E-04,205.3025354
0.002174248,384.2842329
0.004209715,673.8134495
0.00541249,826.4743091
0.005690054,889.64432
0.006522745,947.5501633
0.00615266,873.8518173
0.005782575,768.5684658
0.004487278,552.7375953
0.002451812,252.6800436
0.001619121,131.6041893
-1.39E-04,-105.2833515
-0.001063994,-247.415876
-0.002821897,-521.1525898
-0.003932151,-673.8134495
-0.004949884,-847.5309794
-0.006060139,-1021.248509
-0.007632999,-1194.966039
-0.00846569,-1247.607715
-0.008928296,-1216.02271
-0.008650732,-1121.267693
-0.008095605,-1052.833515
-0.006800308,-837.0026443
-0.005134927,-600.1151034
-0.003747109,-431.6617411
-0.002266769,-205.3025354
-6.01E-04,31.58500544
-4.63E-05,131.6041893
0.001249036,305.3217193
0.002636854,473.7750817
0.003562066,615.9076062
0.004302236,726.4551252
0.005597533,884.3801524
0.006522745,984.3993363
0.007170393,1042.30518
0.007632999,1105.475191
0.008095605,1137.060196
0.008743254,1179.173537
0.008928296,1152.852699
0.008743254,1100.211023
0.008280648,1026.512677
0.006985351,847.5309794
0.005690054,615.9076062
0.003932151,373.7558978
0.002174248,105.2833515
8.79E-04,-63.17001089
-6.94E-04,-279.0008814
-0.001711642,-410.6050708
-0.002821897,-579.0584331
-0.004487278,-784.3609685
-0.005319969,-921.2293254
-0.00689283,-1110.739358
-0.008003084,-1231.815212
-0.008650732,-1279.19272
-0.009390902,-1310.777726
-0.010038551,-1316.041893
-0.010131072,-1268.664385
-0.010038551,-1200.230207
-0.008373169,-952.8143309
-0.005690054,-589.5867683
-0.003562066,-284.265049
-0.001341557,31.58500544
7.86E-04,336.9067247
0.003284503,652.7567792
0.005597533,921.2293254
0.007170393,1089.682688
0.008003084,1179.173537
0.00846569,1221.286877
0.00920586,1268.664385
0.009760987,1289.721056
0.010501157,1284.456888
0.010501157,1210.758542
0.009760987,1131.796028
0.008558211,989.6635039
0.006707787,721.1909576
0.005042406,442.1900762
0.003006939,200.0383678
0.0015266,0
3.24E-04,-168.4533624
-8.79E-04,-331.6425572
-0.002174248,-489.5675844
