panel zone shear distortion (rad),panel zone shear force (kN)
0,0
2.55E-06,11.64084917
8.51E-07,29.5800386
1.26E-06,47.662565
1.18E-05,65.58987257
2.24E-05,83.97076622
3.42E-05,101.898451
5.41E-05,119.4072523
7.72E-05,137.3111732
9.11E-05,155.2141512
0.000103876,173.4764147
0.000115271,191.9763158
0.000129522,209.8792938
0.000149979,228.0217954
0.000168156,245.9257164
0.000187048,263.8286944
0.000209866,281.8514342
0.000230158,299.7553551
0.000246496,317.7780949
0.000268078,336.0394154
0.000286887,354.181917
0.000302511,372.3234757
0.000315966,390.4659773
0.000333292,408.8470595
0.00034974,426.7500375
0.000370855,445.2508818
0.000386095,463.3924403
0.000409297,481.7735226
0.000423658,500.1546049
0.000442577,516.9834985
0.000454055,535.126
0.000476708,553.3873206
0.000491673,571.4100604
0.000511443,589.6713806
0.00052682,607.9327012
0.000549061,625.8366223
0.000567459,644.5751037
0.000587503,662.5978435
0.000608921,680.7403454
0.000619081,699.1214277
0.000638027,717.1441675
0.000655326,735.286669
0.000670154,753.3094088
0.000690473,771.6895481
0.000706948,789.9518117
0.000723149,807.9745515
0.000739899,826.11611
0.000760767,844.1388498
0.000776693,862.1625326
0.000793443,880.1852724
0.000807447,898.0882505
0.000827217,915.3952483
0.000845339,932.5824844
0.000860991,949.7678345
0.000877466,966.3647485
0.000900806,984.4987628
0.000912613,1001.095677
0.000933481,1019.239122
0.00094776,1037.137385
0.000965059,1054.328392
0.000988399,1071.755152
0.00099746,1077.837544
0.00101064,1059.816691
0.00101009,1041.908997
0.00101064,1023.774983
0.00101064,1005.989881
0.00101037,988.0821874
0.00100982,970.1839248
0.00101064,952.0404799
0.00101091,933.7763306
0.00100762,915.8724095
0.000993341,897.6110889
0.000983731,879.7071682
0.000973846,861.4458476
0.000968354,843.4231078
0.000949407,825.5201297
0.00093458,807.616209
0.000915908,789.4737071
0.000901355,771.4509673
0.000882134,753.4282275
0.000862913,735.5252498
0.00084836,717.50251
0.00082859,699.4797702
0.00081541,681.4570304
0.000795914,663.5531093
0.000776418,645.7689498
0.00075912,627.8659722
0.000747038,609.6037086
0.000725895,591.7007304
0.000707497,573.6779906
0.000691022,555.77407
0.000672625,537.8710919
0.000659994,519.7285904
0.000641048,501.8256123
0.000620728,483.8028725
0.000598761,465.4217902
0.000578717,447.2792887
0.00056334,429.2565487
0.000548238,410.8754665
0.000530884,392.7339079
0.000504551,374.7111681
0.000487664,356.5686664
0.000470448,338.6656884
0.000449222,320.7617674
0.000431072,302.500447
0.000419402,284.2391266
0.000400758,265.8580443
0.000382608,247.5967238
0.000362728,229.4542222
0.000348477,211.3117206
0.000329503,193.2889808
0.000308634,175.0276603
0.000288754,156.7663399
0.000269835,138.6238383
0.000247841,120.1239372
0.000226011,102.053104
0.000210195,84.12589079
0.000192155,66.66405122
0.00017093,48.58161914
0.000158765,30.49909271
0.000146519,12.4166606
0.000135069,-5.516653905
0.000106374,-23.59317337
8.98E-05,-41.5324571
7.09E-05,-59.91325647
5.14E-05,-77.84065833
3.81E-05,-95.92356193
1.61E-05,-113.8501151
-1.26E-06,-131.9567825
-2.07E-05,-149.8597605
-3.38E-05,-167.7636814
-5.11E-05,-185.6666594
-7.05E-05,-203.8091611
-9.12E-05,-221.7130821
-0.00010473,-239.8546407
-0.000122468,-257.7585617
-0.000136387,-273.6331327
-0.000153713,-291.8944531
-0.000167635,-310.0360118
-0.000181172,-328.1785134
-0.000206928,-345.6043301
-0.000224639,-363.5082511
-0.000241553,-381.5309909
-0.000261406,-399.6725495
-0.000277853,-417.934813
-0.000291802,-435.4794485
-0.000316295,-453.3833697
-0.000326427,-471.0477669
-0.000351772,-489.1902684
-0.000375002,-507.0932465
-0.000391065,-525.1169294
-0.000409641,-543.2584878
-0.000423153,-560.445724
-0.000444249,-578.4684638
-0.000458624,-596.3723849
-0.000483941,-614.2753625
-0.000498735,-632.059522
-0.000510153,-649.6051006
-0.0005266,-667.6278404
-0.000548567,-685.7703419
-0.00057306,-703.67332
-0.000590798,-721.3386603
-0.0006098,-737.3320503
-0.000625424,-755.4745517
-0.000638082,-773.3775299
-0.000655409,-791.5200313
-0.000675234,-809.3041903
-0.00068921,-827.3269301
-0.000709035,-844.0370051
-0.000728888,-860.6273179
-0.000740612,-877.6947923
-0.000763952,-895.2403709
-0.000780949,-913.5016911
-0.000802312,-929.9731852
-0.000814311,-948.1175732
-0.000832681,-966.2610177
-0.000850474,-982.9710927
-0.000868157,-999.4359856
-0.000881667,-1016.749585
-0.000888092,-1023.671252
-0.000904485,-1037.750339
-0.000902563,-1019.852076
-0.00090325,-1001.821792
-0.000902838,-983.923529
-0.000903387,-965.9026752
-0.000902838,-947.5140487
-0.000902151,-929.3762624
-0.00090119,-911.3535226
-0.000896879,-893.3307828
-0.000886088,-875.4278047
-0.000881008,-858.4791493
-0.000869585,-840.4564095
-0.000855032,-822.0753272
-0.000839161,-804.1714061
-0.000822164,-785.910086
-0.00081044,-768.484269
-0.00078677,-750.5803479
-0.000771146,-732.6773702
-0.000750882,-716.802799
-0.000731002,-698.7800592
-0.000709886,-680.5187386
-0.000694674,-664.2858252
-0.000677348,-646.0245046
-0.000662603,-628.1205839
-0.000646951,-611.411452
-0.000631327,-593.5075309
-0.00061488,-577.5141414
-0.000595878,-559.4914016
-0.000572209,-541.5874805
-0.00055027,-523.4459216
-0.000537144,-505.4231818
-0.000519846,-487.3994989
-0.000508011,-469.4965213
-0.000482675,-451.5926002
-0.000468742,-433.6896222
-0.000448063,-415.4283017
-0.000434952,-399.1953882
-0.000419776,-380.9340678
-0.000404561,-362.5529856
-0.000385134,-344.5302457
-0.000361492,-326.5075059
-0.000341639,-308.4847661
-0.00032305,-290.5817881
-0.000302786,-272.3195247
-0.000289276,-254.0582043
-0.000269423,-235.7968838
-0.000250422,-217.2969827
-0.000237736,-199.1544811
-0.000217472,-180.65458
-0.000199734,-162.6308972
-0.000186224,-144.6081574
-0.000168925,-125.9649193
-0.000155413,-109.1001915
-0.000139347,-90.87432808
-0.000123305,-72.93504434
-0.000108936,-54.86449408
-9.12E-05,-37.54589722
-7.35E-05,-19.46101329
-5.83E-05,-1.37856231
-4.39E-05,17.01183686
-2.53E-05,34.93914441
-7.19E-06,53.17679539
1.10E-05,71.10410295
2.96E-05,89.64021548
4.81E-05,107.5678059
6.12E-05,125.6141209
8.11E-05,143.8754414
0.00010459,162.3762854
0.000118264,180.8761865
0.000125376,198.7791645
0.000141164,217.3988274
0.000163022,236.1382521
0.000181309,254.5193344
0.000199239,272.7806548
0.000222881,291.1617371
0.000244107,309.4230576
0.000261488,327.9229586
0.00028502,346.4238027
0.000304488,365.2820463
0.000318025,383.6621855
0.000331068,401.6849254
0.000353584,419.7086081
0.00037091,438.2085093
0.00038906,456.8281721
0.00040614,474.7311502
0.000426541,492.9934134
0.000441671,511.4933148
0.000456965,529.754635
0.0004769,547.7773748
0.0004984,565.9198767
0.000515013,583.9426165
0.000532586,602.085118
0.00055016,620.1078578
0.000568282,638.3691784
0.000589151,656.6304986
0.000610569,675.3689804
0.000626495,693.5114819
0.000641048,711.6539838
0.00065917,730.0350661
0.000677018,748.2963863
0.000695965,766.1993644
0.000712165,784.460685
0.000727817,802.3646057
0.000742095,820.745688
0.000766259,839.0070086
0.000781086,857.2683287
0.00079509,875.1722499
0.000813487,893.075228
0.000830237,911.9334715
0.000849184,929.8373926
0.000866208,945.8354972
0.000881036,963.7337602
0.000902728,981.7546139
0.000919478,999.7754677
0.000936227,1016.730724
0.000951879,1035.232512
0.000968354,1053.611708
0.000988399,1071.868313
0.00100982,1089.059321
0.00102766,1106.36349
0.00102766,1088.106885
0.00102574,1069.96344
0.00102574,1051.461653
0.00102657,1032.959866
0.00102712,1014.458079
0.00102657,996.5598158
0.00102712,977.935438
0.00102574,959.5562418
0.00102794,941.534445
0.00102245,922.7950202
0.00100762,904.8920421
0.000994714,886.988121
0.000977964,868.9653812
0.000961215,850.4654802
0.000940621,832.0843979
0.000926617,813.8230777
0.000906297,795.4419954
0.000887351,776.942094
0.000869503,758.6798308
0.000849184,740.8956714
0.000834905,722.5155321
0.00081486,704.4927923
0.000801955,686.3502908
0.000782734,667.8503898
0.000762964,649.110965
0.00074539,631.0882252
0.000730288,612.8269046
0.000711342,594.6844031
0.00069569,576.1845021
0.000677018,558.280581
0.00065917,539.9004417
0.000644343,521.8767589
0.000625122,503.7352004
0.000603979,485.5926989
0.000585307,467.2116166
0.000567733,448.8314774
0.000547689,430.9275562
0.000532037,412.7850546
0.000514683,394.4049153
0.000489559,376.3821755
0.000470914,358.1199121
0.000452709,339.9783535
0.000435767,322.0744325
0.000418935,304.0516927
0.000404931,286.1487147
0.000383843,267.6478706
0.000366187,249.7448926
0.000345841,231.2449915
0.000332715,212.8639093
0.000314099,194.3630652
0.000290457,176.2215065
0.000274613,157.7206624
0.000251246,139.5791038
0.000227549,120.7208603
