id,experimental_program,date,specimen_designation,northridge,specimen_type,comments,loading_protocol,slab,connection_type,t_pl,rbs_cut,s_h,d_h,section_b,d_b,d_bg,t_bw,b_bf,t_bf,r_b,a_b,i_xb,z_xb,z_xb_bfp,r_yb,b_fb_rbs,d_gb_rbs,a_b_rbs,i_xb_rbs,z_xb_rbs,d_bm,d_bgm,t_bwm,b_bfm,t_bfm,z_xbm,steel_b,f_yb,f_ybw,f_ybf,f_yb_mill,f_yb_avg,l_b,l_fc,l_o,lo_db,section_c,d_c,t_cw,b_cf,c_c,t_cf,r_c,a_c,i_xc,d_cm,t_wcm,c_cm,b_fcm,t_fcm,steel_c,f_yc,f_ydp,f_ycw,f_ycf,f_yc_mill,fyc_avg,h_c,t_dp,n_dp,t_dp_tot,lat,lon
Chi_and_Uang_2002_DC2,Chi_and_Uang,2002,DC2,Post,Exterior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,RBS,,25%,,,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,,62.9,228.6,455.93,24877.37,3045438700.0,7905329.0,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,358.5274725,399.896027,,379.8241715,3581.4,3224.53,3224.53,3.536211699,W27x194,713.74,19.05,355.6,600.075,34.036,29.972,36903.152,3271579005.0,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,,434.3698225,427.4750634,NR,429.7980921,3810.0,0.0,0,0.0,46.519962,6.633597
Ciutina_and_Dubina_2008_CP-R-M,Ciutina_and_Dubina,2008,CP-R-M,Post,Interior_Subassembly,,Monotonic,NO,WUF-W,,,,,IPE 360,360.0,180.0,8.0,170.0,12.7,18.0,7269.99,162699869,1018997,,37.9,,,,,,NR,NR,NR,NR,NR,NR,S355,355.0,NR,NR,NR,,3209.999997,2909.999997,1454.999999,4.041666667,HEB 300,299.9999997,10.99999999,299.9999997,207.9999998,18.99999998,26.99999997,14909.99997,251699999.0,NR,NR,NR,NR,NR,S235,235.0,,301.8,260.5,NR,268.8340288,2500.0,0.0,0,0.0,46.508813,6.49613
Ciutina_and_Dubina_2008_CP-IIPL-M,Ciutina_and_Dubina,2008,CP-IIPL-M,Post,Interior_Subassembly,,Monotonic,NO,WUF-W,,,,,IPE 360,360.0,180.0,8.0,170.0,12.7,18.0,7269.99,162699869,1018997,,37.9,,,,,,NR,NR,NR,NR,NR,NR,S355,355.0,NR,NR,NR,,3209.999997,2909.999997,1454.999999,4.041666667,HEB 300,299.9999997,10.99999999,299.9999997,207.9999998,18.99999998,26.99999997,14909.99997,251699999.0,NR,NR,NR,NR,NR,S235,235.0,276.08,301.8,260.5,NR,268.8340288,2500.0,10.0,2,20.0,46.528813,6.45613
Engelhardt_et_al_2000_DBBW,Engelhardt_et_al,2000,DBBW,Post,Interior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,RBS,,50%,571.5,,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,,62.9,152.4,455.93,21238.67,2328145313.0,6289775.0,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620.0,7155.18,3577.59,3.923398329,W14x398,464.82,44.958,421.64,254.0,72.39,29.972,75483.72,2497388554.0,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,,351.6327134,330.9484362,361.2853761,334.8938079,3708.4,0.0,0,0.0,46.598813,6.15613
Engelhardt_et_al_2000_DBBWWPZ,Engelhardt_et_al,2000,DBBWWPZ,Post,Interior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,RBS,,40%,571.5,,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,,62.9,182.88,455.93,22694.15,2615062668.0,6935997.0,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620.0,7194.55,3597.275,3.944986072,W14x283,425.45,32.766,409.575,254.0,52.578,29.972,53741.828,1598328674.0,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,,351.6327134,330.9484362,361.2853761,335.001089,3708.4,0.0,0,0.0,46.698813,6.15613
Engelhardt_et_al_2000_DBWW,Engelhardt_et_al,2000,DBWW,Post,Interior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,RBS,,50%,571.5,,W36x150,911.86,455.93,15.88,304.8,23.88,20.07,28516.07,3762732087,9520884,,62.9,152.4,455.93,21238.67,2328145313.0,6289775.0,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620.0,7155.18,3577.59,3.923398329,W14x398,464.82,44.958,421.64,254.0,72.39,29.972,75483.72,2497388554.0,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,,351.6327134,330.9484362,361.2853761,334.8938079,3657.6,0.0,0,0.0,46.998813,6.90613
Kosarieh_and_Danesh_2016_SN1,Kosarieh_and_Danesh,2016,SN1,Post,Exterior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,WFP,25.0,,400.0,,I-400x180x8x12,400.0,200.0,8.0,180.0,12.0,12.95,7780.39,198028074,1120832,,38.73,,,,,,NR,NR,NR,NR,NR,NR,S235,235.0,287.4,278,,281.8585153,2184.999998,2004.999998,2004.999998,5.0125,H-360x240x8x20,359.9999996,7.999999992,239.9999998,304.0919997,14.99999998,12.99999999,10163.66514,238337999.0,NR,NR,NR,NR,NR,S235,235.0,,287.4,269.9,NR,274.595122,2745.0,0.0,0,0.0,46.198813,6.10613
Kosarieh_and_Danesh_2016_SN2,Kosarieh_and_Danesh,2016,SN2,Post,Exterior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,WFP,25.0,,400.0,,H-400x180x8x12,400.0,200.0,8.0,180.0,12.0,12.95,7780.39,198028074,1120832,,38.73,,,,,,NR,NR,NR,NR,NR,NR,S235,235.0,287.4,278,,281.8585153,2184.999998,2004.999998,2004.999998,5.0125,H-360x240x8x20,359.9999996,7.999999992,239.9999998,304.0919997,14.99999998,12.99999999,10163.66514,238337999.0,NR,NR,NR,NR,NR,S235,235.0,,287.4,269.9,NR,274.595122,2745.0,0.0,0,0.0,46.128813,6.10613
Lee_et_al_2002_CR1,Lee_et_al,2002,CR1,Post,Interior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,WUF-W,,,,,W24x94,617.22,308.61,13.08,230.38,22.23,29.97,17870.93,1123824849,4162314,,50.29,,,,,,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,411.6171175,348.8748098,344.7379543,375.3846232,7112.0,6686.55,3343.275,5.416666667,W14x283,425.45,32.766,409.575,254.0,52.578,29.972,53741.828,1598328674.0,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,,360.5959002,349.5642857,372.3169907,351.7257005,4343.4,0.0,0,0.0,45.998813,6.50613
Lee_et_al_2002_CR2,Lee_et_al,2002,CR2,Post,Interior_Subassembly,,Ramped_Symmetric_Cyclic_AISC,NO,WUF-W,,,,,W24x94,617.22,308.61,13.08,230.38,22.23,29.97,17870.93,1123824849,4162314,,50.29,,,,,,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,411.6171175,348.8748098,344.7379543,375.3846232,7112.0,6718.3,3359.15,5.442386831,W14x193,393.7,22.606,398.78,254.0,36.576,29.972,36645.088,998955421.4,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,398.5170752,372.3169907,345.4274302,375.7643702,350.7778277,4343.4,15.875,1,15.875,45.898813,6.40613
